radar_range,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
12,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.083899974822998
12,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0122976303100586
12,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.043565034866333
15,detection,0,29,10,0.3448275862068966,4,0,0.0,10,99,1.1100000000003347,0.20000000000038654,4.169444444444441,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6079282760620117
15,detection,1,29,8,0.27586206896551724,5,1,0.2,8,81,1.2624999999993207,0.23750000000025295,3.33749999999987,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.688948631286621
15,detection,2,29,13,0.4482758620689655,5,0,0.0,13,133,2.161538461540291,0.1000000000001102,5.422222222222504,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.692744731903076
15,detection,3,29,14,0.4827586206896552,9,0,0.0,14,140,1.4285714285738322,0.17142857142851295,5.8430555555559325,100.0,100.0,0.0,0.0,29,11,9,9,0,20,3.8229401111602783
15,detection,4,29,12,0.41379310344827586,5,1,0.2,12,120,1.0083333333328237,0.15000000000027094,5.006944444444631,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.768829822540283
15,detection,5,29,12,0.41379310344827586,4,0,0.0,12,120,1.933333333336274,0.17500000000040927,5.005555555555743,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.750715494155884
15,detection,6,29,11,0.3793103448275862,6,0,0.0,11,111,1.5090909090944562,0.3363636363645707,4.59027777777787,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.724107027053833
15,detection,7,29,13,0.4482758620689655,4,0,0.0,13,131,0.2461538461543372,0.2461538461543372,5.420833333333614,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.700270891189575
15,detection,8,29,14,0.4827586206896552,8,0,0.0,14,141,2.457142857144796,0.10714285714308451,5.840277777778155,100.0,100.0,0.0,0.0,29,10,8,8,0,21,3.768855094909668
15,detection,9,29,10,0.3448275862068966,6,0,0.0,10,101,1.960000000000568,0.12000000000010118,4.170833333333331,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.784339666366577
15,detection,10,29,9,0.3103448275862069,5,0,0.0,9,90,1.1777777777772118,0.25555555555582843,3.755555555555458,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.837587594985962
