radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
15,detection,5,29,29,1.0,21,2,0.09523809523809523,29,290,3.717241379313445,0.26206896551736175,12.100000000001799,0.0,29,29,25,21,0,8,2.5792860984802246
15,detection,6,29,29,1.0,20,1,0.05,29,290,2.141379310347702,0.2758620689657642,12.100000000001799,0.0,29,29,26,20,0,9,2.4655814170837402
15,detection,7,29,29,1.0,25,0,0.0,29,293,2.7793103448318335,0.2689655172417472,12.100000000001799,0.0,29,29,27,25,0,4,2.578441858291626
15,detection,8,29,28,0.9655172413793104,19,1,0.05263157894736842,28,278,2.8678571428616033,0.303571428571591,11.683333333335037,2.400000000000001,29,29,24,19,1,10,2.576444149017334
15,detection,9,29,29,1.0,19,0,0.0,29,290,1.7448275862090603,0.23103448275908778,12.100000000001799,1.3,29,29,26,19,1,10,2.5961856842041016
15,detection,10,29,28,0.9655172413793104,22,2,0.09090909090909091,28,278,2.4821428571473882,0.2642857142860992,11.681944444446149,0.0,29,29,26,22,0,7,2.4812512397766113
15,detection,11,29,29,1.0,24,2,0.08333333333333333,29,289,2.2620689655190698,0.3517241379315888,12.100000000001799,0.0,29,29,29,24,0,5,2.581671953201294
15,detection,12,29,28,0.9655172413793104,16,0,0.0,28,278,2.3642857142871736,0.42142857142921536,11.683333333335037,3.5000000000000018,29,29,25,16,1,13,2.4940805435180664
15,detection,13,29,29,1.0,25,0,0.0,29,289,1.9172413793111738,0.17931034482761915,12.100000000001799,0.0,29,29,28,25,0,4,2.5653491020202637
15,detection,14,29,29,1.0,24,0,0.0,29,291,2.424137931036469,0.36551724137995406,12.100000000001799,0.0,29,29,28,24,0,5,2.5212433338165283
15,aware,0,29,29,1.0,21,0,0.0,29,295,3.089655172417807,0.2827586206898439,12.100000000001799,0.0,29,29,26,21,0,8,2.600515127182007
15,aware,1,29,28,0.9655172413793104,18,1,0.05555555555555555,28,283,2.3035714285749367,0.3607142857146763,11.681944444446149,0.0,29,29,24,18,0,11,2.5786213874816895
15,aware,2,29,29,1.0,21,3,0.14285714285714285,29,294,2.6827586206925234,0.2517241379312642,12.100000000001799,0.0,29,29,28,21,0,8,2.540569305419922
15,aware,3,29,29,1.0,23,1,0.043478260869565216,29,293,2.155172413794895,0.3310344827591703,12.100000000001799,0.0,29,29,28,23,0,6,2.6617276668548584
15,aware,4,29,29,1.0,18,0,0.0,29,291,2.182758620691039,0.23793103448287348,12.100000000001799,0.0,29,29,24,18,0,11,2.6095027923583984
15,aware,5,29,29,1.0,25,3,0.12,29,290,3.241379310349674,0.44482758620720153,12.100000000001799,0.0,29,29,27,25,0,4,2.52192759513855
15,aware,6,29,28,0.9655172413793104,19,2,0.10526315789473684,28,284,2.746428571431749,0.2785714285716736,11.683333333335037,3.900000000000002,29,29,23,19,1,10,2.557253837585449
15,aware,7,29,29,1.0,24,1,0.041666666666666664,29,293,2.8034482758631643,0.3310344827589253,12.100000000001799,0.0,29,29,26,24,0,5,2.565232276916504
15,aware,8,29,28,0.9655172413793104,21,1,0.047619047619047616,28,281,1.8321428571458256,0.24642857142865587,11.683333333335037,0.0,29,29,26,21,0,8,2.541926860809326
15,aware,9,29,29,1.0,25,1,0.04,29,292,2.9206896551748294,0.34482758620723764,12.100000000001799,0.0,29,29,28,25,0,4,2.4796316623687744
15,aware,10,29,29,1.0,18,1,0.05555555555555555,29,288,2.4275862069008123,0.286206896552092,12.100000000001799,0.0,29,29,27,18,0,11,2.6066675186157227
15,aware,11,29,29,1.0,22,0,0.0,29,293,2.158620689657233,0.3206896551730973,12.100000000001799,0.0,29,29,27,22,0,7,2.5590193271636963
15,aware,12,29,29,1.0,23,0,0.0,29,293,3.4517241379319614,0.3448275862073484,12.100000000001799,1.8000000000000005,29,29,27,23,1,6,2.54557204246521
15,aware,13,29,28,0.9655172413793104,23,3,0.13043478260869565,28,281,2.835714285716847,0.3250000000004921,11.683333333335037,0.0,29,29,28,23,0,6,2.489800453186035
