cruise_speed_kmh,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
100,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.5056047439575195
100,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.5272555351257324
100,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.352900266647339
100,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.337181568145752
100,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.316723585128784
100,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2540781497955322
100,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.21862530708313
100,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2636196613311768
100,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.208251953125
100,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.120196580886841
120,detection,0,29,5,0.1724137931034483,5,1,0.2,5,51,9.180000000000252,0.15999999999996248,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.3259851932525635
120,detection,1,29,7,0.2413793103448276,7,0,0.0,7,71,9.485714285744896,0.44285714285870525,2.9166666666665604,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.4473137855529785
120,detection,2,29,6,0.20689655172413793,5,0,0.0,6,61,6.616666666663055,0.24999999999982947,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.442659378051758
120,detection,3,29,8,0.27586206896551724,8,1,0.125,8,81,9.35000000000656,0.3250000000001876,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.4805989265441895
120,detection,4,29,8,0.27586206896551724,8,1,0.125,8,81,8.812500000011553,0.20000000000015916,3.33749999999987,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.515536308288574
120,detection,5,29,3,0.10344827586206896,2,0,0.0,3,31,7.766666666674458,0.0666666666669092,1.2513888888888773,100.0,100.0,0.0,0.0,29,4,2,2,0,27,3.471085548400879
120,detection,6,29,5,0.1724137931034483,5,2,0.4,5,51,7.900000000008822,0.14000000000010004,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.4930903911590576
120,detection,7,29,7,0.2413793103448276,7,0,0.0,7,71,10.585714285727041,0.2000000000003094,2.9180555555554495,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5316414833068848
120,detection,8,29,9,0.3103448275862069,9,0,0.0,9,92,9.81111111112346,0.26666666666695465,3.754166666666569,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.587585687637329
120,detection,9,29,5,0.1724137931034483,5,0,0.0,5,51,7.320000000000772,0.13999999999995794,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.53454327583313
120,detection,10,29,4,0.13793103448275862,4,0,0.0,4,40,11.27500000000316,0.27500000000009095,1.669444444444409,100.0,100.0,0.0,2.3000000000000007,29,5,4,5,1,25,3.629150152206421
