awareness_persist_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
60,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.204378843307495
60,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.054072856903076
60,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1489410400390625
60,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.169238328933716
60,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0731632709503174
60,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.045668363571167
120,detection,0,29,7,0.2413793103448276,7,0,0.0,7,112,8.11428571429799,0.5714285714294282,11.670833333335034,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.489454507827759
120,detection,1,29,4,0.13793103448275862,4,0,0.0,4,61,11.025000000018736,0.17500000000029559,6.669444444445009,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.3564114570617676
120,detection,2,29,3,0.10344827586206896,3,0,0.0,3,48,7.866666666687782,0.13333333333359101,5.000000000000186,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.5871400833129883
120,detection,3,29,7,0.2413793103448276,7,1,0.14285714285714285,7,108,9.700000000016189,0.27142857142871435,11.669444444446146,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.515719413757324
120,detection,4,29,5,0.1724137931034483,5,2,0.4,5,78,8.960000000016748,0.2800000000004502,8.334722222223165,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.44832444190979
120,detection,5,29,5,0.1724137931034483,5,0,0.0,5,79,9.880000000013023,0.1799999999998363,8.336111111112054,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.5951931476593018
120,detection,6,29,8,0.27586206896551724,8,1,0.125,8,123,9.02500000000866,0.2125000000002757,13.33750000000208,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.5248446464538574
120,detection,7,29,9,0.3103448275862069,9,2,0.2222222222222222,9,141,9.544444444454411,0.2111111111112128,15.004166666668235,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.4813339710235596
120,detection,8,29,6,0.20689655172413793,6,0,0.0,6,96,8.333333333342276,0.13333333333340155,10.00555555555688,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.5028433799743652
120,detection,9,29,6,0.20689655172413793,6,0,0.0,6,89,9.95000000001935,0.1333333333335863,10.00138888889021,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.5982959270477295
120,detection,10,29,5,0.1724137931034483,5,2,0.4,5,78,8.300000000006275,0.26000000000012735,8.337500000000944,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.7504236698150635
120,detection,11,29,6,0.20689655172413793,6,0,0.0,6,91,8.283333333349484,0.4166666666670693,10.0027777777791,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.615945339202881
120,detection,12,29,7,0.2413793103448276,7,0,0.0,7,110,11.757142857149002,0.12857142857158368,11.672222222223924,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.543520927429199
