hesitate_dwell_max,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
3.0,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.071488857269287
3.0,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1432809829711914
3.0,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.215038537979126
3.0,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2105584144592285
3.0,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1766550540924072
3.0,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.217311382293701
3.0,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1636292934417725
3.0,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.0636415481567383
3.0,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.1406660079956055
3.0,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.062453508377075
5.0,detection,0,29,10,0.3448275862068966,9,1,0.1111111111111111,10,102,9.210000000002347,0.11999999999999034,4.17222222222222,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.4329147338867188
5.0,detection,1,29,4,0.13793103448275862,4,0,0.0,4,40,9.72500000001719,0.15000000000031832,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.4611246585845947
5.0,detection,2,29,7,0.2413793103448276,7,3,0.42857142857142855,7,73,9.457142857150561,0.3285714285718768,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.507436513900757
5.0,detection,3,29,4,0.13793103448275862,4,0,0.0,4,40,11.04999999999859,0.14999999999986358,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.423929214477539
5.0,detection,4,29,6,0.20689655172413793,6,0,0.0,6,60,9.116666666687687,0.2500000000005116,2.5013888888888065,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.536698579788208
5.0,detection,5,29,7,0.2413793103448276,7,0,0.0,7,70,10.800000000010316,0.2857142857142857,2.9222222222221155,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.7182374000549316
5.0,detection,6,29,3,0.10344827586206896,3,0,0.0,3,29,9.599999999995626,0.6666666666662119,1.252777777777766,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.5489695072174072
5.0,detection,7,29,4,0.13793103448275862,4,0,0.0,4,41,8.275000000023915,0.5250000000012633,1.6666666666666312,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.5774624347686768
