size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.75,aware,7,29,29,1.0,20,1,0.05,29,294,3.434482758623955,0.4068965517243422,12.100000000001799,0.0,29,29,24,20,0,9,2.495880365371704
0.75,aware,8,29,29,1.0,19,1,0.05263157894736842,29,292,3.272413793103963,0.441379310345418,12.100000000001799,3.0000000000000013,29,29,25,19,1,10,2.4375510215759277
0.75,aware,9,29,29,1.0,22,2,0.09090909090909091,29,292,1.8758620689682322,0.3482758620693074,12.100000000001799,0.0,29,29,29,22,0,7,2.54836106300354
0.75,aware,10,29,29,1.0,20,1,0.05,29,289,2.534482758621983,0.38965517241406694,12.100000000001799,2.700000000000001,29,29,28,20,1,9,2.484307289123535
0.75,aware,11,29,28,0.9655172413793104,14,3,0.21428571428571427,28,279,2.635714285716113,0.2785714285716127,11.683333333335037,0.0,29,29,27,14,0,15,2.4927523136138916
0.75,aware,12,29,28,0.9655172413793104,23,2,0.08695652173913043,28,281,2.5178571428625767,0.6321428571439236,11.681944444446149,0.0,29,29,24,23,0,6,2.483903169631958
0.75,aware,13,29,29,1.0,23,3,0.13043478260869565,29,290,2.7931034482785355,0.33103448275915853,12.100000000001799,2.600000000000001,29,29,29,23,1,6,2.5604186058044434
0.75,aware,14,29,29,1.0,22,3,0.13636363636363635,29,288,1.2586206896563121,0.2482758620693552,12.100000000001799,0.0,29,29,29,22,0,7,2.481947898864746
1.0,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.4933335781097412
1.0,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5744421482086182
1.0,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.5540454387664795
1.0,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5635621547698975
1.0,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.539057731628418
1.0,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.558269739151001
1.0,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5360522270202637
1.0,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5246469974517822
1.0,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5434072017669678
1.0,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5423755645751953
1.0,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5613527297973633
1.0,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5423767566680908
1.0,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5320467948913574
1.0,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5422632694244385
1.0,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.516580581665039
1.0,detection,0,29,28,0.9655172413793104,20,3,0.15,28,279,1.6321428571461627,0.25357142857174914,11.683333333335037,0.0,29,29,27,20,0,9,2.466268539428711
1.0,detection,1,29,29,1.0,20,2,0.1,29,291,2.717241379314691,0.2379310344827892,12.100000000001799,2.700000000000001,29,29,28,20,1,9,2.463325262069702
1.0,detection,2,29,29,1.0,20,3,0.15,29,290,2.148275862071915,0.16551724137942542,12.100000000001799,0.0,29,29,25,20,0,9,2.4588937759399414
1.0,detection,3,29,28,0.9655172413793104,20,0,0.0,28,279,2.0107142857174645,0.2892857142859516,11.683333333335037,0.0,29,29,25,20,0,9,2.455660820007324
1.0,detection,4,29,29,1.0,19,2,0.10526315789473684,29,292,2.6965517241371897,0.24827586206920327,12.100000000001799,0.0,29,29,26,19,0,10,2.474835157394409
1.0,detection,5,29,29,1.0,21,0,0.0,29,289,2.672413793106103,0.2758620689657035,12.100000000001799,0.0,29,29,26,21,0,8,2.470280170440674
1.0,detection,6,29,29,1.0,20,1,0.05,29,291,2.1965517241394537,0.36896551724176113,12.100000000001799,1.8000000000000005,29,29,28,20,1,9,2.4468796253204346
1.0,detection,7,29,29,1.0,20,0,0.0,29,293,1.9689655172435254,0.28620689655226456,12.100000000001799,0.0,29,29,28,20,0,9,2.4604265689849854
1.0,detection,8,29,27,0.9310344827586207,15,2,0.13333333333333333,27,276,3.2555555555578706,0.4259259259265996,11.266666666668275,2.700000000000001,29,29,23,15,1,14,2.4819726943969727
1.0,detection,9,29,29,1.0,19,0,0.0,29,290,1.7448275862090603,0.23103448275908778,12.100000000001799,1.3,29,29,26,19,1,10,2.4242913722991943
1.0,detection,10,29,28,0.9655172413793104,19,0,0.0,28,278,2.0785714285744916,0.2750000000004239,11.681944444446149,0.0,29,29,25,19,0,10,2.4542789459228516
1.0,detection,11,29,29,1.0,23,3,0.13043478260869565,29,289,3.351724137936827,0.30000000000036614,12.100000000001799,0.0,29,29,29,23,0,6,2.508601427078247
1.0,detection,12,29,28,0.9655172413793104,16,0,0.0,28,278,2.3642857142871736,0.42142857142921536,11.683333333335037,3.5000000000000018,29,29,25,16,1,13,2.4671101570129395
1.0,detection,13,29,29,1.0,21,0,0.0,29,289,2.103448275863591,0.2724137931038356,12.100000000001799,3.0000000000000013,29,29,28,21,1,8,2.477195978164673
1.0,detection,14,29,29,1.0,24,0,0.0,29,291,2.424137931036469,0.36551724137995406,12.100000000001799,0.0,29,29,28,24,0,5,2.5978033542633057
1.0,aware,0,29,29,1.0,20,0,0.0,29,295,3.089655172417807,0.2827586206898439,12.100000000001799,0.0,29,29,26,20,0,9,2.5168488025665283
1.0,aware,1,29,29,1.0,17,1,0.058823529411764705,29,287,3.624137931038996,0.3793103448280135,12.100000000001799,0.0,29,29,26,17,0,12,2.645918369293213
1.0,aware,2,29,29,1.0,19,2,0.10526315789473684,29,294,2.7724137931066424,0.2862068965520793,12.100000000001799,0.0,29,29,28,19,0,10,2.510650873184204
